id,sentence,tokens,labels
31,Ức gà nướng có ít chất béo hơn thịt bò không?,Ức_gà nướng có ít chất_béo hơn thịt_bò không ?,B-FOOD O O O B-NUTRIENT O B-FOOD O O
32,Lượng protein trong đậu phụ so với thịt heo như thế nào?,Lượng protein trong đậu_phụ so_với thịt_heo như_thế_nào ?,O B-NUTRIENT O B-FOOD O B-FOOD O O
33,Khoai tây có bao nhiêu tinh bột?,Khoai_tây có bao_nhiêu tinh_bột ?,B-FOOD O O B-NUTRIENT O
34,Bắp cải chứa bao nhiêu vitamin C và chất xơ?,Bắp_cải chứa bao_nhiêu vitamin_C và chất_xơ ?,B-FOOD O O B-NUTRIENT O B-NUTRIENT O
35,Thành phần dinh dưỡng của sữa là gì?,Thành_phần dinh_dưỡng của sữa là gì ?,O O O B-FOOD O O O
36,Cá hồi có nhiều vitamin D không?,Cá_hồi có nhiều vitamin_D không ?,B-FOOD O O B-NUTRIENT O O
37,Ăn bơ mỗi ngày bổ sung được bao nhiêu chất béo?,Ăn bơ mỗi ngày bổ_sung được bao_nhiêu chất_béo ?,O B-FOOD O O O O O B-NUTRIENT O
38,Gạo lứt có ít calo hơn gạo trắng không?,Gạo_lứt có ít calo hơn gạo_trắng không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
39,Trứng gà chứa bao nhiêu vitamin D?,Trứng_gà chứa bao_nhiêu vitamin_D ?,B-FOOD O O B-NUTRIENT O
40,Sắt trong thịt bò cao hơn rau muống không?,Sắt trong thịt_bò cao hơn rau_muống không ?,B-NUTRIENT O B-FOOD O O B-FOOD O O
41,Tôm chứa bao nhiêu kẽm?,Tôm chứa bao_nhiêu kẽm ?,B-FOOD O O B-NUTRIENT O
42,Cà chua có nhiều vitamin C không?,Cà_chua có nhiều vitamin_C không ?,B-FOOD O O B-NUTRIENT O O
43,Óc chó có bao nhiêu calo?,Óc_chó có bao_nhiêu calo ?,B-FOOD O O B-NUTRIENT O
44,Lượng canxi trong sữa chua là bao nhiêu?,Lượng canxi trong sữa_chua là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
45,Chuối có nhiều kali hơn táo không?,Chuối có nhiều kali hơn táo không ?,B-FOOD O O B-NUTRIENT O B-FOOD O O
46,Đậu xanh giàu protein không?,Đậu_xanh giàu protein không ?,B-FOOD O B-NUTRIENT O O
47,Bưởi có ít calo không?,Bưởi có ít calo không ?,B-FOOD O O B-NUTRIENT O O
48,Hàm lượng magiê trong hạt điều là bao nhiêu?,Hàm_lượng magiê trong hạt_điều là bao_nhiêu ?,O B-NUTRIENT O B-FOOD O O O
49,Cá ba sa có ít chất béo không?,Cá_ba_sa có ít chất_béo không ?,B-FOOD O O B-NUTRIENT O O
50,Folate trong đậu xanh có đủ cho phụ nữ mang thai không?,Folate trong đậu_xanh có đủ cho phụ_nữ mang_thai không ?,B-NUTRIENT O B-FOOD O O O O O O O
51,Bị tiểu đường nên ăn gì?,Bị tiểu_đường nên ăn gì ?,O B-DISEASE O O O O
52,Người bị gout nên kiêng gì?,Người bị gout nên kiêng gì ?,O O B-DISEASE O O O O
53,Huyết áp cao nên ăn gì?,Huyết_áp_cao nên ăn gì ?,B-DISEASE O O O O
54,Người bị tiểu đường có ăn cơm trắng được không?,Người bị tiểu_đường có ăn cơm_trắng được không ?,O O B-DISEASE O O B-FOOD O O O
55,Bị cholesterol cao nên tránh ăn gì?,Bị cholesterol_cao nên tránh ăn gì ?,O B-DISEASE O O O O O
56,Cá hồi có tốt cho người bị tim mạch không?,Cá_hồi có tốt cho người bị tim_mạch không ?,B-FOOD O O O O O B-DISEASE O O
57,Người béo phì nên ăn thực phẩm gì?,Người béo_phì nên ăn thực_phẩm gì ?,O B-DISEASE O O O O O
58,Bị gout có ăn tôm được không?,Bị gout có ăn tôm được không ?,O B-DISEASE O O B-FOOD O O O
59,Người tiểu đường ăn gạo lứt thay cơm trắng được không?,Người tiểu_đường ăn gạo_lứt thay cơm_trắng được không ?,O B-DISEASE O B-FOOD O B-FOOD O O O
60,Bị gan nhiễm mỡ nên ăn gì?,Bị gan_nhiễm_mỡ nên ăn gì ?,O B-DISEASE O O O O
61,Loãng xương nên bổ sung gì?,Loãng_xương nên bổ_sung gì ?,B-DISEASE O O O O
62,Người bị thiếu máu nên ăn gì?,Người bị thiếu_máu nên ăn gì ?,O O B-DISEASE O O O O
63,Bệnh dạ dày nên tránh ăn gì?,Bệnh dạ_dày nên tránh ăn gì ?,O B-DISEASE O O O O O
64,Ung thư cần bổ sung thực phẩm gì?,Ung_thư cần bổ_sung thực_phẩm gì ?,B-DISEASE O O O O O
65,Bị huyết áp cao nên ăn chuối không?,Bị huyết_áp_cao nên ăn chuối không ?,O B-DISEASE O O B-FOOD O O
66,Người bị tiểu đường có uống nước mía được không?,Người bị tiểu_đường có uống nước_mía được không ?,O O B-DISEASE O O B-FOOD O O O
67,Bị gout nên hạn chế ăn thịt bò không?,Bị gout nên hạn_chế ăn thịt_bò không ?,O B-DISEASE O O O B-FOOD O O
68,Người bị cholesterol cao nên ăn cá hồi không?,Người bị cholesterol_cao nên ăn cá_hồi không ?,O O B-DISEASE O O B-FOOD O O
69,Tiểu đường tuýp 2 có ăn trái cây không?,Tiểu_đường tuýp_2 có ăn trái_cây không ?,B-DISEASE O O O O O O
70,Bị loãng xương nên ăn thực phẩm giàu canxi nào?,Bị loãng_xương nên ăn thực_phẩm giàu canxi nào ?,O B-DISEASE O O O O B-NUTRIENT O O
71,Người bị tim mạch nên ăn cá thay thịt không?,Người bị tim_mạch nên ăn cá thay thịt không ?,O O B-DISEASE O O B-FOOD O B-FOOD O O
72,Bị béo phì có nên ăn khoai lang không?,Bị béo_phì có nên ăn khoai_lang không ?,O B-DISEASE O O O B-FOOD O O
73,Người bị dạ dày có ăn cà chua không?,Người bị dạ_dày có ăn cà_chua không ?,O O B-DISEASE O O B-FOOD O O
74,Gout kiêng ăn hải sản không?,Gout kiêng ăn hải_sản không ?,B-DISEASE O O B-FOOD O O
75,Bị thiếu máu nên ăn thực phẩm giàu sắt nào?,Bị thiếu_máu nên ăn thực_phẩm giàu sắt nào ?,O B-DISEASE O O O O B-NUTRIENT O O
76,Người bị gan nhiễm mỡ có ăn thịt được không?,Người bị gan_nhiễm_mỡ có ăn thịt được không ?,O O B-DISEASE O O O O O O
77,Huyết áp cao nên ăn ít muối không?,Huyết_áp_cao nên ăn ít muối không ?,B-DISEASE O O O O O O
78,Bị tiểu đường nên ăn rau muống không?,Bị tiểu_đường nên ăn rau_muống không ?,O B-DISEASE O O B-FOOD O O
79,Người ung thư nên bổ sung vitamin D không?,Người ung_thư nên bổ_sung vitamin_D không ?,O B-DISEASE O O B-NUTRIENT O O
80,Bị gout có ăn đậu phụ được không?,Bị gout có ăn đậu_phụ được không ?,O B-DISEASE O O B-FOOD O O O
81,Người béo phì nên giảm tinh bột không?,Người béo_phì nên giảm tinh_bột không ?,O B-DISEASE O O B-NUTRIENT O O
82,Bị cholesterol cao nên ăn yến mạch không?,Bị cholesterol_cao nên ăn yến_mạch không ?,O B-DISEASE O O B-FOOD O O
83,Người bị tim mạch có ăn thịt heo không?,Người bị tim_mạch có ăn thịt_heo không ?,O O B-DISEASE O O B-FOOD O O
84,Tiểu đường ăn bơ có được không?,Tiểu_đường ăn bơ có được không ?,B-DISEASE O B-FOOD O O O O
85,Bị loãng xương nên uống sữa không?,Bị loãng_xương nên uống sữa không ?,O B-DISEASE O O B-FOOD O O
86,Người bị dạ dày nên tránh thức ăn chua không?,Người bị dạ_dày nên tránh thức_ăn chua không ?,O O B-DISEASE O O O O O O
87,Bị gan nhiễm mỡ nên ăn rau xanh không?,Bị gan_nhiễm_mỡ nên ăn rau_xanh không ?,O B-DISEASE O O B-FOOD O O
88,Người thiếu máu nên ăn thịt bò hay rau muống?,Người thiếu_máu nên ăn thịt_bò hay rau_muống ?,O B-DISEASE O O B-FOOD O B-FOOD O
89,Huyết áp cao có ăn chuối được không?,Huyết_áp_cao có ăn chuối được không ?,B-DISEASE O O B-FOOD O O O
90,Bị tiểu đường nên hạn chế ăn gì?,Bị tiểu_đường nên hạn_chế ăn gì ?,O B-DISEASE O O O O O
91,Người bị gout có ăn trứng gà không?,Người bị gout có ăn trứng_gà không ?,O O B-DISEASE O O B-FOOD O O
92,Bị cholesterol cao có ăn tôm không?,Bị cholesterol_cao có ăn tôm không ?,O B-DISEASE O O B-FOOD O O
93,Người béo phì nên ăn ức gà không?,Người béo_phì nên ăn ức_gà không ?,O B-DISEASE O O B-FOOD O O
94,Bị ung thư nên ăn thực phẩm nào tốt?,Bị ung_thư nên ăn thực_phẩm nào tốt ?,O B-DISEASE O O O O O O
95,Loãng xương cần bổ sung canxi từ sữa không?,Loãng_xương cần bổ_sung canxi từ sữa không ?,B-DISEASE O O B-NUTRIENT O B-FOOD O O
96,Người bị huyết áp cao nên ăn bơ không?,Người bị huyết_áp_cao nên ăn bơ không ?,O O B-DISEASE O O B-FOOD O O
97,Bị dạ dày có ăn chuối được không?,Bị dạ_dày có ăn chuối được không ?,O B-DISEASE O O B-FOOD O O O
98,Gout nên hạn chế thịt heo không?,Gout nên hạn_chế thịt_heo không ?,B-DISEASE O O B-FOOD O O
99,Bị tiểu đường có ăn bưởi không?,Bị tiểu_đường có ăn bưởi không ?,O B-DISEASE O O B-FOOD O O
100,Người bị tim mạch nên ăn cá hồi mỗi tuần mấy lần?,Người bị tim_mạch nên ăn cá_hồi mỗi tuần mấy lần ?,O O B-DISEASE O O B-FOOD O O O O O
101,Bị gan nhiễm mỡ nên kiêng ăn gì?,Bị gan_nhiễm_mỡ nên kiêng ăn gì ?,O B-DISEASE O O O O O
102,Người béo phì ăn yến mạch thay cơm được không?,Người béo_phì ăn yến_mạch thay cơm được không ?,O B-DISEASE O B-FOOD O O O O O
103,Bị loãng xương nên ăn đậu phụ không?,Bị loãng_xương nên ăn đậu_phụ không ?,O B-DISEASE O O B-FOOD O O
104,Cholesterol cao nên ăn bơ không?,Cholesterol_cao nên ăn bơ không ?,B-DISEASE O O B-FOOD O O
105,Người tiểu đường nên ăn khoai lang không?,Người tiểu_đường nên ăn khoai_lang không ?,O B-DISEASE O O B-FOOD O O
106,Bị thiếu máu nên ăn rau muống không?,Bị thiếu_máu nên ăn rau_muống không ?,O B-DISEASE O O B-FOOD O O
107,Người bị huyết áp cao nên hạn chế natri không?,Người bị huyết_áp_cao nên hạn_chế natri không ?,O O B-DISEASE O O B-NUTRIENT O O
108,Bị gout có ăn cá thu không?,Bị gout có ăn cá_thu không ?,O B-DISEASE O O B-FOOD O O
109,Người ung thư cần bổ sung protein nhiều không?,Người ung_thư cần bổ_sung protein nhiều không ?,O B-DISEASE O O B-NUTRIENT O O O
110,Bị dạ dày nên ăn gạo lứt hay cơm trắng?,Bị dạ_dày nên ăn gạo_lứt hay cơm_trắng ?,O B-DISEASE O O B-FOOD O B-FOOD O
111,Bị đau đầu nên ăn gì?,Bị đau_đầu nên ăn gì ?,O B-SYMPTOM O O O O
112,Mệt mỏi nên bổ sung gì?,Mệt_mỏi nên bổ_sung gì ?,B-SYMPTOM O O O O
113,Bị buồn nôn nên ăn thực phẩm gì?,Bị buồn_nôn nên ăn thực_phẩm gì ?,O B-SYMPTOM O O O O O
114,Bị đau khớp nên ăn gì để giảm đau?,Bị đau_khớp nên ăn gì để giảm đau ?,O B-SYMPTOM O O O O O O O
115,Mất ngủ nên ăn gì trước khi đi ngủ?,Mất_ngủ nên ăn gì trước khi đi ngủ ?,B-SYMPTOM O O O O O O O O
116,Bị chóng mặt nên ăn gì?,Bị chóng_mặt nên ăn gì ?,O B-SYMPTOM O O O O
117,Đau bụng nên ăn thực phẩm nhẹ nào?,Đau_bụng nên ăn thực_phẩm nhẹ nào ?,B-SYMPTOM O O O O O O
118,Bị khó tiêu nên ăn gì?,Bị khó_tiêu nên ăn gì ?,O B-SYMPTOM O O O O
119,Bị tiêu chảy nên ăn gì?,Bị tiêu_chảy nên ăn gì ?,O B-SYMPTOM O O O O
120,Chuối có giúp giảm chóng mặt không?,Chuối có giúp giảm chóng_mặt không ?,B-FOOD O O O B-SYMPTOM O O
121,Bị mệt mỏi nên bổ sung vitamin D không?,Bị mệt_mỏi nên bổ_sung vitamin_D không ?,O B-SYMPTOM O O B-NUTRIENT O O
122,Đau khớp gối nên ăn gì để cải thiện?,Đau_khớp gối nên ăn gì để cải_thiện ?,B-SYMPTOM O O O O O O O
123,Bị sưng khớp nên tránh ăn gì?,Bị sưng_khớp nên tránh ăn gì ?,O B-SYMPTOM O O O O O
124,Mất ngủ uống sữa ấm có hiệu quả không?,Mất_ngủ uống sữa ấm có hiệu_quả không ?,B-SYMPTOM O B-FOOD O O O O O
125,Bị đau đầu nên uống nước nhiều không?,Bị đau_đầu nên uống nước nhiều không ?,O B-SYMPTOM O O O O O O
126,Khó tiêu ăn sữa chua có giúp tiêu hoá không?,Khó_tiêu ăn sữa_chua có giúp tiêu_hoá không ?,B-SYMPTOM O B-FOOD O O O O O
127,Bị tiêu chảy nên ăn cháo không?,Bị tiêu_chảy nên ăn cháo không ?,O B-SYMPTOM O O B-FOOD O O
128,Mệt mỏi thường xuyên có thể thiếu sắt không?,Mệt_mỏi thường_xuyên có_thể thiếu sắt không ?,B-SYMPTOM O O O B-NUTRIENT O O
129,Bị buồn nôn sau khi ăn thịt heo thì sao?,Bị buồn_nôn sau khi ăn thịt_heo thì sao ?,O B-SYMPTOM O O O B-FOOD O O O
130,Đau bụng sau ăn cà chua có bình thường không?,Đau_bụng sau ăn cà_chua có bình_thường không ?,B-SYMPTOM O O B-FOOD O O O O
131,Chóng mặt do thiếu sắt nên ăn gì?,Chóng_mặt do thiếu sắt nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
132,Bị sưng khớp ăn cá hồi có giảm viêm không?,Bị sưng_khớp ăn cá_hồi có giảm viêm không ?,O B-SYMPTOM O B-FOOD O O O O O
133,Mệt mỏi sau tập thể thao nên bổ sung protein không?,Mệt_mỏi sau tập_thể_thao nên bổ_sung protein không ?,B-SYMPTOM O O O O B-NUTRIENT O O
134,Bị khó tiêu ăn đậu phụ có được không?,Bị khó_tiêu ăn đậu_phụ có được không ?,O B-SYMPTOM O B-FOOD O O O O
135,Đau đầu do thiếu magiê nên ăn gì?,Đau_đầu do thiếu magiê nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
136,Bị mất ngủ có nên ăn bơ không?,Bị mất_ngủ có nên ăn bơ không ?,O B-SYMPTOM O O O B-FOOD O O
137,Tiêu chảy nên uống nhiều nước và ăn gì?,Tiêu_chảy nên uống nhiều nước và ăn gì ?,B-SYMPTOM O O O O O O O O
138,Bị đau khớp do gout nên tránh thức ăn gì?,Bị đau_khớp do gout nên tránh thức_ăn gì ?,O B-SYMPTOM O B-DISEASE O O O O O
139,Chóng mặt sau khi đứng dậy nên bổ sung kali không?,Chóng_mặt sau khi đứng_dậy nên bổ_sung kali không ?,B-SYMPTOM O O O O O B-NUTRIENT O O
140,Bị khó thở nên hạn chế ăn gì?,Bị khó_thở nên hạn_chế ăn gì ?,O B-SYMPTOM O O O O O
141,Mệt mỏi nên uống sữa không?,Mệt_mỏi nên uống sữa không ?,B-SYMPTOM O O B-FOOD O O
142,Bị buồn nôn khi ăn sáng thì làm gì?,Bị buồn_nôn khi ăn sáng thì làm gì ?,O B-SYMPTOM O O O O O O O
143,Đau bụng có nên ăn chuối không?,Đau_bụng có nên ăn chuối không ?,B-SYMPTOM O O O B-FOOD O O
144,Bị tiêu chảy ăn gạo lứt được không?,Bị tiêu_chảy ăn gạo_lứt được không ?,O B-SYMPTOM O B-FOOD O O O
145,Mất ngủ do thiếu magiê nên ăn gì?,Mất_ngủ do thiếu magiê nên ăn gì ?,B-SYMPTOM O O B-NUTRIENT O O O O
146,Bị sưng khớp có liên quan đến chế độ ăn không?,Bị sưng_khớp có liên_quan đến chế_độ_ăn không ?,O B-SYMPTOM O O O O O O
147,Chóng mặt ăn óc chó có giúp không?,Chóng_mặt ăn óc_chó có giúp không ?,B-SYMPTOM O B-FOOD O O O O
148,Bị đau đầu nên tránh ăn gì?,Bị đau_đầu nên tránh ăn gì ?,O B-SYMPTOM O O O O O
149,Khó tiêu sau ăn thịt heo nên làm gì?,Khó_tiêu sau ăn thịt_heo nên làm gì ?,B-SYMPTOM O O B-FOOD O O O O
150,Bị mệt mỏi nên ăn thực phẩm giàu sắt không?,Bị mệt_mỏi nên ăn thực_phẩm giàu sắt không ?,O B-SYMPTOM O O O O B-NUTRIENT O O
151,Người bị tiểu đường ăn cá hồi có bổ sung được omega-3 không?,Người bị tiểu_đường ăn cá_hồi có bổ_sung được omega-3 không ?,O O B-DISEASE O B-FOOD O O O B-NUTRIENT O O
152,Bị gout và huyết áp cao nên ăn gì?,Bị gout và huyết_áp_cao nên ăn gì ?,O B-DISEASE O B-DISEASE O O O O
153,Mệt mỏi do thiếu sắt nên ăn rau muống không?,Mệt_mỏi do thiếu sắt nên ăn rau_muống không ?,B-SYMPTOM O O B-NUTRIENT O O B-FOOD O O
154,Người bị tiểu đường bị đau đầu nên ăn gì?,Người bị tiểu_đường bị đau_đầu nên ăn gì ?,O O B-DISEASE O B-SYMPTOM O O O O
155,Bị cholesterol cao ăn bơ giàu chất béo có ổn không?,Bị cholesterol_cao ăn bơ giàu chất_béo có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
156,Người loãng xương cần canxi và vitamin D nên ăn gì?,Người loãng_xương cần canxi và vitamin_D nên ăn gì ?,O B-DISEASE O B-NUTRIENT O B-NUTRIENT O O O O
157,Bị thiếu máu và mệt mỏi nên bổ sung sắt từ đâu?,Bị thiếu_máu và mệt_mỏi nên bổ_sung sắt từ đâu ?,O B-DISEASE O B-SYMPTOM O O B-NUTRIENT O O O
158,Cá hồi giàu omega-3 tốt cho người bị tim mạch không?,Cá_hồi giàu omega-3 tốt cho người bị tim_mạch không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
159,Ăn ức gà sau tập thể thao có bổ sung protein tốt không?,Ăn ức_gà sau tập_thể_thao có bổ_sung protein tốt không ?,O B-FOOD O O O O B-NUTRIENT O O O
160,Bị tiểu đường mệt mỏi nên bổ sung gì?,Bị tiểu_đường mệt_mỏi nên bổ_sung gì ?,O B-DISEASE B-SYMPTOM O O O O
161,Người béo phì bị đau khớp nên ăn gì?,Người béo_phì bị đau_khớp nên ăn gì ?,O B-DISEASE O B-SYMPTOM O O O O
162,Gạo lứt giàu chất xơ có tốt cho người tiểu đường không?,Gạo_lứt giàu chất_xơ có tốt cho người tiểu_đường không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
163,Bị gout đau khớp nên tránh ăn thịt bò không?,Bị gout đau_khớp nên tránh ăn thịt_bò không ?,O B-DISEASE B-SYMPTOM O O O B-FOOD O O
164,Người bị huyết áp cao và chóng mặt nên ăn gì?,Người bị huyết_áp_cao và chóng_mặt nên ăn gì ?,O O B-DISEASE O B-SYMPTOM O O O O
165,Sữa chua chứa canxi tốt cho người bị loãng xương không?,Sữa_chua chứa canxi tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
166,Bị tiểu đường ăn chuối nhiều kali có ổn không?,Bị tiểu_đường ăn chuối nhiều kali có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
167,Người bị tim mạch mệt mỏi nên ăn cá hồi không?,Người bị tim_mạch mệt_mỏi nên ăn cá_hồi không ?,O O B-DISEASE B-SYMPTOM O O B-FOOD O O
168,Bị huyết áp cao đau đầu nên ăn thực phẩm gì?,Bị huyết_áp_cao đau_đầu nên ăn thực_phẩm gì ?,O B-DISEASE B-SYMPTOM O O O O O
169,Rau muống giàu sắt tốt cho người bị thiếu máu không?,Rau_muống giàu sắt tốt cho người bị thiếu_máu không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
170,Người bị gout bị đau khớp nên tránh thịt heo không?,Người bị gout bị đau_khớp nên tránh thịt_heo không ?,O O B-DISEASE O B-SYMPTOM O O B-FOOD O O
171,Yến mạch giàu chất xơ có giúp người béo phì giảm cân không?,Yến_mạch giàu chất_xơ có giúp người béo_phì giảm_cân không ?,B-FOOD O B-NUTRIENT O O O B-DISEASE O O O
172,Bị dạ dày khó tiêu nên ăn đậu phụ không?,Bị dạ_dày khó_tiêu nên ăn đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
173,Người ung thư cần protein nhiều nên ăn ức gà không?,Người ung_thư cần protein nhiều nên ăn ức_gà không ?,O B-DISEASE O B-NUTRIENT O O O B-FOOD O O
174,Bị tiểu đường mất ngủ nên ăn gì?,Bị tiểu_đường mất_ngủ nên ăn gì ?,O B-DISEASE B-SYMPTOM O O O O
175,Cà rốt giàu vitamin D tốt cho người bị loãng xương không?,Cà_rốt giàu vitamin_D tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
176,Bị thiếu máu chóng mặt nên bổ sung sắt từ thực phẩm nào?,Bị thiếu_máu chóng_mặt nên bổ_sung sắt từ thực_phẩm nào ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O O
177,Người bị gan nhiễm mỡ ăn óc chó có giảm chất béo không?,Người bị gan_nhiễm_mỡ ăn óc_chó có giảm chất_béo không ?,O O B-DISEASE O B-FOOD O O B-NUTRIENT O O
178,Bị gout uống nước mía có làm tăng acid uric không?,Bị gout uống nước_mía có làm tăng acid_uric không ?,O B-DISEASE O B-FOOD O O O O O O
179,Ăn trứng gà có làm tăng cholesterol cao không?,Ăn trứng_gà có làm tăng cholesterol_cao không ?,O B-FOOD O O O B-DISEASE O O
180,Người bị tiểu đường buồn nôn nên ăn gì?,Người bị tiểu_đường buồn_nôn nên ăn gì ?,O O B-DISEASE B-SYMPTOM O O O O
181,Khoai lang giàu tinh bột người tiểu đường ăn được không?,Khoai_lang giàu tinh_bột người tiểu_đường ăn được không ?,B-FOOD O B-NUTRIENT O B-DISEASE O O O O
182,Người bị huyết áp cao nên ăn chuối giàu kali không?,Người bị huyết_áp_cao nên ăn chuối giàu kali không ?,O O B-DISEASE O O B-FOOD O B-NUTRIENT O O
183,Bị loãng xương mệt mỏi nên bổ sung vitamin D từ đâu?,Bị loãng_xương mệt_mỏi nên bổ_sung vitamin_D từ đâu ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O
184,Người bị tim mạch ăn tôm giàu protein có ổn không?,Người bị tim_mạch ăn tôm giàu protein có ổn không ?,O O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
185,Bị béo phì đau khớp nên ăn thực phẩm gì để giảm cân?,Bị béo_phì đau_khớp nên ăn thực_phẩm gì để giảm_cân ?,O B-DISEASE B-SYMPTOM O O O O O O O
186,Người bị dạ dày không tiêu nên ăn gạo lứt không?,Người bị dạ_dày không_tiêu nên ăn gạo_lứt không ?,O O B-DISEASE B-SYMPTOM O O B-FOOD O O
187,Bị tiểu đường ăn cá thu giàu omega-3 có tốt không?,Bị tiểu_đường ăn cá_thu giàu omega-3 có tốt không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
188,Mệt mỏi do thiếu kẽm nên ăn hạt điều không?,Mệt_mỏi do thiếu kẽm nên ăn hạt_điều không ?,B-SYMPTOM O O B-NUTRIENT O O B-FOOD O O
189,Bị gout chóng mặt có liên quan đến chế độ ăn không?,Bị gout chóng_mặt có liên_quan đến chế_độ_ăn không ?,O B-DISEASE B-SYMPTOM O O O O O O
190,Người ung thư mệt mỏi nên bổ sung protein từ đậu phụ không?,Người ung_thư mệt_mỏi nên bổ_sung protein từ đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O B-FOOD O O
